CreditScore,FirstPaymentDate,MaturityDate,MSA,MIP,Units,Occupancy,OCLTV,DTI,OrigUPB,LTV,OrigInterestRate,Channel,PropertyState,PropertyType,PostalCode,LoanPurpose,OrigLoanTerm,ServicerName,MonthsDelinquent,MonthsInRepayment,EverDelinquent,FirstTimeHomebuyer_N,FirstTimeHomebuyer_Y,PPM_N,PPM_X,PPM_Y,ProductType_FRM  ,NumBorrowers_1,NumBorrowers_2
497.93122586872585,199903,202902,35644,25.0,2,1,90,38.0,212000,90.0,6.75,2,35,5,11400,2,360,14,35.0,37.0,1.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,37100,0.0,1,1,70,39.0,227000,70.0,6.375,2,4,5,91300,2,360,5,0.0,52.0,0.0,True,False,True,False,False,True,False,True
497.93122586872585,199903,202902,38060,0.0,1,1,32,21.0,99000,32.0,7.25,2,3,5,85200,1,360,9,0.0,15.0,0.0,True,False,True,False,False,True,False,True
497.93122586872585,199903,202902,38060,0.0,1,1,75,11.0,83000,75.0,7.75,3,3,4,85200,2,360,2,0.0,53.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,38060,30.0,1,1,95,34.0,49000,95.0,6.75,3,3,4,85300,2,360,2,0.0,211.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,38300,0.0,1,1,54,19.0,29000,54.0,7.25,2,39,5,15000,2,360,13,0.0,111.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,38900,0.0,1,1,74,25.0,124000,74.0,6.75,3,38,5,97200,1,360,2,0.0,52.0,0.0,True,False,True,False,False,True,False,True
497.93122586872585,199903,202902,38900,30.0,1,1,95,27.0,132000,95.0,6.625,3,38,5,97000,2,360,4,2.0,51.0,1.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,38900,30.0,1,1,95,39.0,122000,95.0,6.625,3,38,5,97200,2,360,1,0.0,46.0,0.0,True,False,True,False,False,True,False,True
497.93122586872585,199903,202902,39300,0.0,1,1,52,15.0,150000,52.0,7.0,3,41,5,2800,2,360,4,0.0,55.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,39300,0.0,1,1,80,39.0,300000,80.0,6.875,3,20,5,2000,2,360,14,0.0,39.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,39340,0.0,1,1,78,28.0,95000,78.0,6.75,2,46,5,84000,1,360,19,0.0,47.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,39820,25.0,1,1,90,35.0,149000,90.0,6.625,2,4,5,96000,2,360,5,0.0,55.0,0.0,True,False,True,False,False,True,False,True
497.93122586872585,199903,202902,40060,0.0,1,1,70,28.0,80000,70.0,6.5,2,47,5,23200,2,360,14,0.0,212.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,40140,0.0,1,1,54,11.0,35000,54.0,6.875,3,4,0,92200,2,360,0,0.0,17.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,40140,25.0,1,1,90,34.0,162000,90.0,6.5,3,4,5,92800,2,360,0,0.0,75.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,40140,30.0,1,1,95,29.0,226000,95.0,7.0,2,4,5,91700,2,360,14,1.0,28.0,1.0,True,False,True,False,False,True,False,True
497.93122586872585,199903,202902,40900,12.0,1,1,84,41.0,212000,84.0,6.75,3,4,5,95600,1,360,10,0.0,62.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,40900,25.0,1,0,90,28.0,51000,90.0,8.75,3,4,5,95800,2,360,14,0.0,29.0,0.0,True,False,True,False,False,True,False,True
497.93122586872585,199903,202902,41180,25.0,1,1,90,35.0,77000,90.0,7.0,2,15,5,62200,2,360,14,6.0,58.0,1.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,41620,30.0,1,1,95,32.0,110000,95.0,7.125,2,46,0,84000,2,360,17,11.0,83.0,1.0,True,False,True,False,False,True,False,True
497.93122586872585,199903,202902,41700,25.0,1,1,90,45.0,82000,90.0,6.5,3,45,5,78200,2,360,0,0.0,27.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,41740,0.0,1,1,60,14.0,240000,60.0,6.5,3,4,5,92100,1,360,0,2.0,62.0,1.0,True,False,True,False,False,True,False,True
497.93122586872585,199903,202902,41740,0.0,1,1,78,18.0,112000,78.0,6.75,2,4,0,92100,1,360,2,0.0,10.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,41884,30.0,1,1,95,41.0,219000,95.0,7.0,3,4,0,94400,2,360,19,0.0,31.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,42044,0.0,1,0,68,37.0,236000,68.0,7.625,3,4,5,92600,2,360,0,1.0,45.0,1.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,42044,0.0,1,1,36,20.0,67000,36.0,6.75,2,4,0,92600,1,360,2,0.0,91.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,42044,0.0,1,1,55,20.0,195000,55.0,6.75,3,4,5,92800,1,360,14,2.0,133.0,1.0,True,False,True,False,False,True,False,True
497.93122586872585,199903,202902,42220,30.0,1,1,95,28.0,137000,95.0,7.0,3,4,5,95400,2,360,5,0.0,37.0,0.0,True,False,True,False,False,True,False,True
497.93122586872585,199903,202902,42220,30.0,1,1,96,28.0,164000,96.0,6.875,3,4,5,95400,2,360,5,0.0,40.0,0.0,True,False,True,False,False,True,False,True
497.93122586872585,199903,202902,42644,0.0,1,1,75,45.0,115000,75.0,6.5,2,49,5,98200,2,360,12,0.0,165.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,42644,30.0,1,1,90,29.0,198000,90.0,6.5,2,49,5,98000,2,360,9,0.0,11.0,0.0,True,False,True,False,False,True,False,True
497.93122586872585,199903,202902,42644,30.0,1,1,97,37.0,187000,97.0,7.0,3,49,5,98100,2,360,14,0.0,17.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,43900,0.0,1,1,80,17.0,60000,80.0,7.0,2,42,5,29300,2,360,14,0.0,156.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,46060,0.0,1,1,75,37.0,194000,75.0,6.625,3,3,5,85700,0,360,14,1.0,29.0,1.0,True,False,True,False,False,True,False,True
497.93122586872585,199903,202902,46700,30.0,1,1,95,37.0,147000,95.0,7.0,3,4,5,94500,2,360,0,4.0,23.0,1.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,47644,0.0,1,1,52,23.0,104000,52.0,7.25,3,23,5,48100,1,360,0,1.0,33.0,1.0,True,False,True,False,False,True,False,True
497.93122586872585,199903,202902,47644,30.0,1,1,95,28.0,72000,95.0,7.25,3,23,0,48300,2,360,17,0.0,43.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,47644,30.0,1,1,95,33.0,183000,95.0,7.375,3,23,5,48000,2,360,19,0.0,50.0,0.0,True,False,True,False,False,True,False,True
497.93122586872585,199903,202902,47894,0.0,1,1,80,32.0,154000,80.0,6.875,3,47,4,20100,2,360,2,1.0,39.0,1.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,47894,0.0,1,1,80,39.0,150000,80.0,6.5,2,47,5,22300,2,360,14,0.0,48.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,47894,30.0,1,1,95,27.0,179000,95.0,7.0,3,47,5,22200,2,360,2,0.0,68.0,0.0,True,False,True,False,False,True,False,True
497.93122586872585,199903,202902,49180,0.0,1,1,78,29.0,70000,78.0,6.75,2,28,5,27100,2,360,14,0.0,118.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,49180,25.0,1,1,89,30.0,66000,89.0,7.625,3,28,5,27100,2,360,6,153.0,205.0,1.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,49420,0.0,1,1,80,25.0,72000,80.0,6.75,2,49,5,98900,2,360,2,0.0,211.0,0.0,True,False,True,False,False,True,False,True
497.93122586872585,199903,202902,49420,0.0,1,1,80,32.0,126000,80.0,6.5,3,49,5,98900,2,360,2,0.0,53.0,0.0,True,False,True,False,False,True,False,True
497.93122586872585,199903,202902,11340,0.0,1,1,46,8.0,80000,46.0,6.75,2,15,5,60500,2,360,0,0.0,19.0,0.0,True,False,True,False,False,True,False,True
497.93122586872585,199903,202902,11340,0.0,1,1,58,37.0,72000,58.0,6.875,2,23,5,48400,1,360,10,0.0,57.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,11340,0.0,1,1,63,30.0,210000,63.0,6.75,2,32,5,8500,2,360,14,0.0,22.0,0.0,True,False,True,False,False,True,False,True
497.93122586872585,199903,202902,11340,0.0,1,1,69,27.0,51000,69.0,7.125,2,16,5,46900,2,360,14,0.0,38.0,0.0,True,False,False,True,False,True,True,False
497.93122586872585,199903,202902,11340,0.0,1,1,72,44.0,100000,72.0,6.75,2,47,5,22900,2,360,16,0.0,159.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,11340,0.0,1,1,75,55.0,46000,75.0,7.25,2,3,5,85600,2,360,13,7.0,81.0,1.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,11340,0.0,1,1,77,20.0,96000,77.0,6.875,2,44,5,37100,1,360,14,0.0,15.0,0.0,True,False,True,False,False,True,False,True
497.93122586872585,199903,202902,11340,0.0,1,1,78,34.0,225000,78.0,6.75,2,15,5,60600,2,360,0,0.0,55.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,11340,0.0,1,1,79,20.0,156000,79.0,6.5,3,28,4,27500,2,360,5,0.0,49.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,11340,0.0,1,1,80,29.553571428571427,45000,80.0,7.0,2,23,5,48400,2,360,14,15.0,191.0,1.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,11340,0.0,1,1,80,37.0,65000,80.0,7.0,3,45,5,75400,2,360,15,8.0,29.0,1.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,11340,0.0,1,1,80,39.0,83000,80.0,6.75,2,1,5,36500,2,360,14,1.0,45.0,1.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,11340,0.0,1,1,80,43.0,235000,80.0,6.75,3,4,5,95200,1,360,2,5.0,53.0,1.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,11340,12.0,1,1,83,38.0,113000,83.0,6.75,2,15,5,60400,2,360,6,0.0,194.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,11340,12.0,2,1,85,15.0,139000,85.0,7.0,2,4,5,91000,2,360,17,0.0,48.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,11340,25.0,1,1,87,28.0,74000,87.0,7.1,2,23,5,48600,2,360,14,0.0,64.0,0.0,True,False,False,True,False,True,False,True
